t,px,py,pz,px_d,py_d,pz_d,vx,vy,vz,vx_d,vy_d,vz_d,psi,theta,phi,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,omega_cmd_5,omega_cmd_6,fc_x,fc_y,fc_z,Tc,int_x,int_y,int_z,fault
0.0,-18.0,-18.0,2.999512489173751,-18.0,-18.0,3.0,-1.8704345033884684e-24,-3.6987218473177605e-24,-0.09695761490151877,0.0,0.0,0.0,4.094395904280993e-22,-4.503152665572923e-21,5.840235702455251e-21,132.89878723793942,132.89878723793942,132.89878723793942,132.8987872379394,132.89878723793936,132.89878723793936,733.1672705292721,733.1672705292721,733.1672705292721,733.167270529272,733.1672705292718,733.1672705292718,0.0,0.0,11.772,11.772,0.0,0.0,0.0,0
0.01,-18.0,-18.0,2.998080049172682,-18.0,-18.0,3.0,-2.0824923842060267e-22,-3.358640179714812e-22,-0.18825714597568974,0.0,0.0,0.0,8.234241720355495e-21,-7.248046019112348e-20,6.993952661460413e-20,243.33580423070265,243.33580423070265,243.33580423070265,243.33580423070265,243.33580423070265,243.33580423070265,742.1504440571556,742.1504440571556,742.1504440571556,742.1504440571556,742.1504440571556,742.1504440571556,5.5873222888808e-24,1.1048743476689812e-23,12.062241467351704,12.062241467351704,0.0,0.0,-4.8751082624898246e-06,0
0.02,-18.0,-18.0,2.9957768894040924,-18.0,-18.0,3.0,-2.293284787686267e-21,-1.035561325985799e-21,-0.27074657987629785,0.0,0.0,0.0,1.1334857669816631e-20,-2.0058663251153238e-19,-9.391331008100282e-21,335.2765175401904,335.2765175401904,335.2765175401904,335.27651754019035,335.27651754019035,335.27651754019035,750.5482719182039,750.5482719182039,750.5482719182039,750.5482719182038,750.5482719182037,750.5482719182037,6.220777094102971e-22,1.0032858730126695e-21,12.336767315698902,12.336767315698902,0.0,0.0,-2.4074616535672e-05,0
0.03,-18.0,-18.0,2.9926991384852535,-18.0,-18.0,3.0,-1.2714278610126877e-20,2.766865339355545e-22,-0.3430517384147539,0.0,0.0,0.0,5.843648504024199e-20,-6.542976274475602e-19,-4.144250690822226e-20,411.9192162673344,411.9192162673344,411.9192162673344,411.9192162673343,411.91921626733426,411.91921626733426,758.0939066196898,758.0939066196898,758.0939066196898,758.0939066196898,758.0939066196897,758.0939066196897,6.850451692255577e-21,3.0934068355248468e-21,12.586069530460472,12.586069530460472,0.0,0.0,-6.630572249474831e-05,0
0.04,-18.0,-18.0,2.988950766596808,-18.0,-18.0,3.0,-5.1603839546327346e-20,-6.711956602540081e-22,-0.40488651920058516,0.0,0.0,0.0,1.0882599650755207e-19,-1.4874079093343557e-18,7.982632749379962e-20,475.8641552835685,475.8641552835685,475.8641552835685,475.86415528356844,475.8641552835684,475.8641552835684,764.6864414396447,764.6864414396447,764.6864414396447,764.6864414396446,764.6864414396446,764.6864414396446,3.797982347775817e-20,-8.26512147466638e-22,12.80592324650363,12.80592324650363,0.0,0.0,-0.00013931433764221348,0
0.05,-18.0,-18.0,2.984635094738895,-18.0,-18.0,3.0,-1.4570460003541173e-19,-8.147876080816463e-21,-0.4566075285586713,0.0,0.0,0.0,1.847805899986457e-19,-2.603494117786826e-18,3.186457070437941e-19,529.239396404515,529.239396404515,529.239396404515,529.239396404515,529.2393964045149,529.2393964045149,770.3211677198311,770.3211677198311,770.3211677198311,770.321167719831,770.321167719831,770.321167719831,1.5414989531399853e-19,2.0049814446554895e-21,12.995343961475644,12.995343961475644,0.0,0.0,-0.0002498066716741354,0
0.060000000000000005,-18.0,-18.0,2.9798499066571744,-18.0,-18.0,3.0,-3.2662000521582747e-19,-3.649438683461308e-20,-0.49892759023771643,0.0,0.0,0.0,2.462032964537786e-19,-3.8383848896827674e-18,6.699162372030596e-19,573.7960403441662,573.7960403441662,573.7960403441662,573.7960403441662,573.7960403441662,573.7960403441662,775.0465531146174,775.0465531146174,775.0465531146174,775.0465531146174,775.0465531146174,775.0465531146174,4.352456917873905e-19,2.433916266563308e-20,13.1552677929372,13.1552677929372,0.0,0.0,-0.0004034557242851866,0
0.07,-18.0,-18.0,2.974684869210964,-18.0,-18.0,3.0,-6.144755449670942e-19,-8.486079630178712e-20,-0.5327332188655843,0.0,0.0,0.0,2.824141209959077e-19,-5.102823247523687e-18,9.901315416749202e-19,610.9814357390733,610.9814357390733,610.9814357390733,610.9814357390733,610.9814357390733,610.9814357390733,778.9379788964305,778.9379788964305,778.9379788964305,778.9379788964304,778.9379788964303,778.9379788964303,9.75672354113828e-19,1.0901525854590306e-19,13.2877018117829,13.2877018117829,0.0,0.0,-0.0006049566577134424,0
0.08,-18.0,-18.0,2.9692204127758806,-18.0,-18.0,3.0,-1.0309666119731677e-18,-1.5725423916422863e-19,-0.5589703425666007,0.0,0.0,0.0,3.2733031098675824e-19,-6.518361506163934e-18,8.160613355798885e-19,641.9962523346592,641.9962523346592,641.9962523346592,641.9962523346592,641.9962523346591,641.9962523346591,782.0819318530077,782.0819318530077,782.0819318530077,782.0819318530077,782.0819318530076,782.0819318530076,1.835548318931844e-18,2.5349437137210144e-19,13.395182044067422,13.395182044067422,0.0,0.0,-0.0008581079656038027,0
0.09,-18.0,-18.0,2.963527514654536,-18.0,-18.0,3.0,-1.5944309673329129e-18,-1.9327565165600564e-19,-0.5785748130540307,0.0,0.0,0.0,3.520231481910872e-19,-7.885654186436208e-18,3.5279532942485245e-19,667.839522450937,667.839522450937,667.839522450937,667.839522450937,667.8395224509369,667.8395224509369,784.5667016705061,784.5667016705061,784.5667016705061,784.566701670506,784.566701670506,784.566701670506,3.079681603250046e-18,4.6974652890094e-19,13.480433515205991,13.480433515205991,0.0,0.0,-0.0011659038378449972,0
0.09999999999999999,-18.0,-18.0,2.9576680014927783,-18.0,-18.0,3.0,-2.3225167712253273e-18,-2.285475639919181e-19,-0.5924378469777336,0.0,0.0,0.0,3.7021730024782253e-19,-9.415985358377766e-18,4.666825326159018e-19,689.3005501729848,689.3005501729848,689.3005501729848,689.3005501729848,689.3005501729847,689.3005501729847,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,4.7628503781993915e-18,5.773489285186051e-19,13.537799999999999,13.537799999999999,0.0,0.0,-0.0015306286912996382,0
0.10999999999999999,-18.0,-18.0,2.9516950046788013,-18.0,-18.0,3.0,-3.228799451806891e-18,-2.8699743389632743e-19,-0.6014120019469339,0.0,0.0,0.0,3.837125887656231e-19,-1.1015709385970705e-17,1.0222284139917776e-18,706.871408936616,706.871408936616,706.871408936616,706.871408936616,706.8714089366159,706.8714089366159,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649189,786.2343057649188,786.2343057649188,6.9377728536649195e-18,6.827124371626513e-19,13.537799999999999,13.537799999999999,0.0,0.0,-0.0019539486763718553,0
