t,px,py,pz,px_d,py_d,pz_d,vx,vy,vz,vx_d,vy_d,vz_d,psi,theta,phi,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,omega_cmd_5,omega_cmd_6,fc_x,fc_y,fc_z,Tc,int_x,int_y,int_z,fault
0.0,-10.0,-10.0,1.999512489124432,-10.0,-10.0,2.0,-1.313887029273702e-24,1.7753840132141026e-25,-0.09695763379108975,0.0,0.0,0.0,9.428593512883902e-23,-2.4549498106958287e-21,-1.792547591842701e-21,132.89767976188912,132.89767976188912,132.89767976188912,132.89767976188912,132.89767976188912,132.89767976188912,733.1611608783879,733.1611608783879,733.1611608783879,733.1611608783879,733.1611608783878,733.1611608783878,0.0,0.0,11.772,11.772,0.0,0.0,0.0,0
0.01,-10.0,-10.0,1.998080021341528,-10.0,-10.0,2.0,-1.0358345986594581e-22,1.2043939555032192e-22,-0.1882660225908459,0.0,0.0,0.0,6.782192546456066e-22,-3.1398544950053845e-20,-4.4916545890079845e-20,243.11082630774527,243.11082630774527,243.11082630774527,243.11082630774527,243.11082630774527,243.11082630774527,740.9143028541445,740.9143028541445,740.9143028541445,740.9143028541445,740.9143028541444,740.9143028541444,3.383461616314478e-24,-4.57188748278368e-25,12.022293059618683,12.022293059618683,0.0,0.0,-4.875108755679758e-06,0
0.02,-10.0,-10.0,1.9957765875874522,-10.0,-10.0,2.0,-1.2393532246539212e-21,1.852769164167682e-21,-0.27080171890878024,0.0,0.0,0.0,5.338500716359321e-22,-1.1901775247846762e-19,-2.1836537218998384e-19,334.6629549436688,334.6629549436688,334.6629549436688,334.6629549436688,334.6629549436688,334.6629549436688,748.1795756784159,748.1795756784159,748.1795756784159,748.1795756784157,748.1795756784157,748.1795756784157,2.6674337498804147e-22,-3.1015000746441064e-22,12.259225953452395,12.259225953452395,0.0,0.0,-2.4074895340400195e-05,0
0.03,-10.0,-10.0,1.992697760925472,-10.0,-10.0,2.0,-7.469240870127106e-21,1.3592287534084277e-20,-0.34322716576507173,0.0,0.0,0.0,2.7856064780947064e-20,-4.544633249505863e-19,-6.226166189970809e-19,410.80620693200325,410.80620693200325,410.80620693200325,410.80620693200325,410.80620693200325,410.80620693200325,754.7250291713323,754.7250291713323,754.7250291713323,754.7250291713322,754.7250291713322,754.7250291713322,3.191525581152982e-21,-4.7711661742468815e-21,12.47466405310536,12.47466405310536,0.0,0.0,-6.630901946587775e-05,0
0.04,-10.0,-10.0,1.9889465942706355,-10.0,-10.0,2.0,-3.3227550635923885e-20,5.1189664674651523e-20,-0.4052907375695113,0.0,0.0,0.0,3.0126193439702847e-20,-9.853249288735856e-19,-1.530550913827143e-18,474.18719943553,474.18719943553,474.18719943553,474.18719943553,474.18719943553,474.18719943553,760.4622891507972,760.4622891507972,760.4622891507972,760.4622891507972,760.4622891507971,760.4622891507971,1.923444651177686e-20,-3.500223544706578e-20,12.665044442084334,12.665044442084334,0.0,0.0,-0.00013933141021115869,0
0.05,-10.0,-10.0,1.9846251807767783,-10.0,-10.0,2.0,-9.281208247185197e-20,1.5210409056892552e-19,-0.45737611952559676,0.0,0.0,0.0,2.4349855163041994e-20,-1.5929385634145093e-18,-2.812098724496892e-18,526.9719045456276,526.9719045456276,526.9719045456276,526.9719045456276,526.9719045456276,526.9719045456276,765.3863817273519,765.3863817273519,765.3863817273519,765.3863817273518,765.3863817273517,765.3863817273517,8.556606441494492e-20,-1.3182127665453409e-19,12.829591084962125,12.829591084962125,0.0,0.0,-0.000249865467504804,0
0.060000000000000005,-10.0,-10.0,1.9798298517267725,-10.0,-10.0,2.0,-2.042942930744556e-19,3.443028190051053e-19,-0.5002138498640922,0.0,0.0,0.0,3.7138293048383427e-20,-2.4419801981671795e-18,-4.2119531591949304e-18,570.9411359222364,570.9411359222364,570.9411359222364,570.9411359222364,570.9411359222364,570.9411359222364,769.5384623422927,769.5384623422927,769.5384623422927,769.5384623422927,769.5384623422926,769.5384623422926,2.390054179523441e-19,-3.9169147777405586e-19,12.969164995176108,12.969164995176108,0.0,0.0,-0.000403613659737021,0
0.07,-10.0,-10.0,1.974648691683546,-10.0,-10.0,2.0,-3.887140192389483e-19,6.685348219299308e-19,-0.5346988104821967,0.0,0.0,0.0,4.2899606289547456e-20,-3.4009580280273185e-18,-6.127882769167422e-18,607.5645902131606,607.5645902131606,607.5645902131606,607.5645902131606,607.5645902131606,607.5645902131606,772.9829948276662,772.9829948276662,772.9829948276662,772.9829948276661,772.9829948276661,772.9829948276661,5.260892935609684e-19,-8.866328280420003e-19,13.085527443900432,13.085527443900432,0.0,0.0,-0.000605315142469296,0
0.08,-10.0,-10.0,1.9691605075524168,-10.0,-10.0,2.0,-6.667183885534561e-19,1.1949895970354428e-18,-0.5617770320398765,0.0,0.0,0.0,5.197848177124981e-20,-4.462753029436711e-18,-8.686046152225614e-18,638.0589734225532,638.0589734225532,638.0589734225532,638.0589734225532,638.0589734225531,638.0589734225531,775.7939937221302,775.7939937221302,775.7939937221302,775.7939937221302,775.79399372213,775.79399372213,1.0009985139630553e-18,-1.7215802110626937e-18,13.18087310078484,13.18087310078484,0.0,0.0,-0.0008588282256338364,0
0.09,-10.0,-10.0,1.963434687107392,-10.0,-10.0,2.0,-1.0530331239367828e-18,1.967412900730403e-18,-0.5823777518311598,0.0,0.0,0.0,4.688908179452964e-20,-5.5320873380629584e-18,-1.1120727911205433e-17,663.4341238956611,663.4341238956611,663.4341238956611,663.434123895661,663.434123895661,663.434123895661,778.0469311631259,778.0469311631259,778.0469311631259,778.0469311631258,778.0469311631258,778.0469311631258,1.7169026151423716e-18,-3.077282402049094e-18,13.25753984863753,13.25753984863753,0.0,0.0,-0.0011672231501096686,0
